id,city,neighborhood_id,rent,rent2,ave_ngbrhd_rent,one_bed,sex,race,first_name,last_name,first_meduc,first_name_freq1990,muslim,rarename,info_nil,info_pos,info_neg,weekend,pctmales,pctblack,pctblack_city,responded,pos_resp,pos_resp1,pos_resp2,pos_resp3,rel_rent,rel_rent2,male,female,white,black,blackXpct,blackXinfo_pos,blackXinfo_neg,pctXinfo_pos,pctXinfo_neg,blackXpctXinfo_pos,blackXpctXinfo_neg,treatment_id
1,Atlanta,4910,650,422500,716.93396,1,M,W,Brendan,Bauer,96.699997,29422,0,0,0,0,1,0,.49141899,.29431719,.29431719,0,0,0,0,0,.90663862,.82199359,1,0,1,0,0,0,0,0,.29431719,0,0,3
2,Atlanta,1850,550,302500,550,1,F,W,Emily,Schroeder,96.599998,322090,0,0,0,1,0,0,.4733471,.84979337,.29431719,1,1,1,1,1,1,1,0,1,1,0,0,0,0,.84979337,0,0,0,2
3,Atlanta,1915,600,360000,600,1,M,W,Todd,Erickson,87.699997,329832,0,0,1,0,0,0,.49761203,.067777663,.29431719,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
4,Atlanta,4910,775,600625,716.93396,1,M,B,Kareem,Jefferson,67.400002,9291,1,0,0,0,1,1,.49141899,.29431719,.29431719,1,1,1,1,1,1.0809922,1.1685442,1,0,0,1,.29431719,0,1,0,.29431719,0,.29431719,3
5,Atlanta,4910,700,490000,716.93396,1,F,W,Meredith,Becker,81.800003,51101,0,0,0,1,0,0,.49141899,.29431719,.29431719,0,0,0,0,0,.97638005,.953318,0,1,1,0,0,0,0,.29431719,0,0,0,2
6,Atlanta,1825,800,640000,833.33331,1,M,W,Neil,Schmidt,85.699997,102202,0,0,0,0,1,0,.51890033,.79686904,.29431719,0,0,0,0,0,.96000004,.92160004,1,0,1,0,0,0,0,0,.79686904,0,0,3
7,Atlanta,1843,575,330625,615,1,F,B,Keisha,Mosley,68.800003,29422,0,0,0,0,1,0,.46585774,.25287208,.29431719,1,0,0,0,1,.93495935,.87414896,0,1,0,1,.25287208,0,1,0,.25287208,0,.25287208,3
8,Atlanta,1867,1050,1102500,916.66669,1,F,B,Aisha,Washington,77.199997,13937,0,0,0,1,0,0,.62180579,.49574107,.29431719,1,1,1,1,1,1.1454545,1.3120661,0,1,0,1,.49574107,1,0,.49574107,0,.49574107,0,2
9,Atlanta,4910,1100,1210000,716.93396,1,M,W,Matthew,Mueller,93.099998,1020467,0,0,0,0,1,0,.49141899,.29431719,.29431719,0,0,0,0,0,1.5343114,2.3541114,1,0,1,0,0,0,0,0,.29431719,0,0,3
10,Atlanta,1914,545,297025,545,1,M,W,Geoffrey,Klein,96,49552,0,0,0,0,1,0,.49826565,.058559477,.29431719,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,.058559477,0,0,3
11,Atlanta,4910,750,562500,716.93396,1,M,B,Tyrone,Washington,64,99105,0,0,0,1,0,0,.49141899,.29431719,.29431719,1,1,1,1,1,1.0461215,1.0943701,1,0,0,1,.29431719,1,0,.29431719,0,.29431719,0,2
12,Atlanta,4910,750,562500,716.93396,1,M,B,Jermaine,Booker,57.5,43358,0,0,0,1,0,0,.49141899,.29431719,.29431719,0,0,0,0,0,1.0461215,1.0943701,1,0,0,1,.29431719,1,0,.29431719,0,.29431719,0,2
13,Atlanta,1879,1000,1000000,1000,1,F,B,Aisha,Booker,77.199997,13937,0,0,0,1,0,0,.52941179,.27017179,.29431719,1,1,1,1,1,1,1,0,1,0,1,.27017179,1,0,.27017179,0,.27017179,0,2
14,Atlanta,4910,750,562500,716.93396,1,M,B,Tremayne,Washington,,1549,0,1,0,1,0,1,.49141899,.29431719,.29431719,0,0,0,0,0,1.0461215,1.0943701,1,0,0,1,.29431719,1,0,.29431719,0,.29431719,0,2
15,Atlanta,4910,550,302500,716.93396,1,M,B,Tyrone,Booker,64,99105,0,0,0,1,0,1,.49141899,.29431719,.29431719,0,0,0,0,0,.76715571,.58852786,1,0,0,1,.29431719,1,0,.29431719,0,.29431719,0,2
16,Atlanta,1822,625,390625,671.66669,1,M,B,Leroy,Booker,53.299999,193564,0,0,0,1,0,1,.48725823,.15044519,.29431719,0,0,0,0,0,.93052107,.86586946,1,0,0,1,.15044519,1,0,.15044519,0,.15044519,0,2
17,Atlanta,4910,650,422500,716.93396,1,F,W,Allison,Schneider,95.699997,142463,0,0,0,0,1,0,.49141899,.29431719,.29431719,0,0,0,0,0,.90663862,.82199359,0,1,1,0,0,0,0,0,.29431719,0,0,3
18,Atlanta,4910,800,640000,716.93396,1,F,B,Keisha,Washington,68.800003,29422,0,0,0,1,0,1,.49141899,.29431719,.29431719,0,0,0,0,0,1.1158628,1.2451499,0,1,0,1,.29431719,1,0,.29431719,0,.29431719,0,2
19,Atlanta,1827,950,902500,825,1,F,W,Kristen,Erickson,93.400002,171884,0,0,1,0,0,0,.48230252,.19595836,.29431719,1,1,1,1,1,1.1515151,1.3259871,0,1,1,0,0,0,0,0,0,0,0,1
20,Atlanta,1813,600,360000,800,1,F,B,Aisha,Washington,77.199997,13937,0,0,0,1,0,0,.53118736,.32164329,.29431719,0,0,0,0,0,.75,.5625,0,1,0,1,.32164329,1,0,.32164329,0,.32164329,0,2
21,Atlanta,1886,745,555025,897.5,0,F,B,Keisha,Booker,68.800003,29422,0,0,0,0,1,0,.49398756,.14153421,.29431719,1,0,0,0,0,.83008355,.68903869,0,1,0,1,.14153421,0,1,0,.14153421,0,.14153421,3
22,Atlanta,1823,850,722500,869,1,M,B,Tremayne,Booker,,1549,0,1,0,1,0,1,.5061205,.056497175,.29431719,1,1,1,1,1,.97813576,.95674956,1,0,0,1,.056497175,1,0,.056497175,0,.056497175,0,2
23,Atlanta,1859,815,664225,932.85712,1,M,W,Geoffrey,Schwartz,96,49552,0,0,1,0,0,0,.62884384,.19642432,.29431719,0,0,0,0,0,.87366003,.76328182,1,0,1,0,0,0,0,0,0,0,0,1
24,Atlanta,1865,1100,1210000,1100,1,F,W,Allison,Becker,95.699997,142463,0,0,0,1,0,1,.51815367,.59611595,.29431719,1,1,1,1,1,1,1,0,1,1,0,0,0,0,.59611595,0,0,0,2
25,Atlanta,1902,700,490000,700,1,M,B,Jermaine,Mosley,57.5,43358,0,0,0,1,0,0,.50674886,.076735042,.29431719,1,1,1,1,1,1,1,1,0,0,1,.076735042,1,0,.076735042,0,.076735042,0,2
26,Atlanta,1873,650,422500,650,1,M,B,Hakim,Washington,73.699997,1549,1,1,0,1,0,1,.4311434,.97315222,.29431719,1,1,1,1,1,1,1,1,0,0,1,.97315222,1,0,.97315222,0,.97315222,0,2
27,Atlanta,4910,700,490000,716.93396,1,M,B,Rasheed,Booker,77.300003,1549,1,1,0,1,0,1,.49141899,.29431719,.29431719,0,0,0,0,0,.97638005,.953318,1,0,0,1,.29431719,1,0,.29431719,0,.29431719,0,2
28,Atlanta,4910,725,525625,716.93396,1,F,B,Tamika,Washington,61.5,34067,0,0,0,1,0,0,.49141899,.29431719,.29431719,1,0,0,0,0,1.0112507,1.0226281,0,1,0,1,.29431719,1,0,.29431719,0,.29431719,0,2
29,Atlanta,1863,950,902500,825.59998,1,F,W,Meredith,Mueller,81.800003,51101,0,0,0,0,1,0,.53956836,.13093525,.29431719,0,0,0,0,0,1.1506783,1.3240604,0,1,1,0,0,0,0,0,.13093525,0,0,3
30,Atlanta,1823,795,632025,869,1,F,B,Tamika,Jefferson,61.5,34067,0,0,0,0,1,1,.5061205,.056497175,.29431719,0,0,0,0,0,.91484463,.83694071,0,1,0,1,.056497175,0,1,0,.056497175,0,.056497175,3
31,Atlanta,4910,1095,1199025,716.93396,1,F,B,Lakisha,Jefferson,55.599998,17034,0,0,0,1,0,0,.49141899,.29431719,.29431719,1,1,1,1,1,1.5273373,2.3327594,0,1,0,1,.29431719,1,0,.29431719,0,.29431719,0,2
32,Atlanta,1880,850,722500,922.5,1,F,W,Allison,Becker,95.699997,142463,0,0,0,1,0,0,.52201438,.43251798,.29431719,0,0,0,0,0,.92140919,.84899491,0,1,1,0,0,0,0,.43251798,0,0,0,2
33,Atlanta,1871,663,439569,706.5,1,F,W,Carrie,Schwartz,80.699997,264795,0,0,0,0,1,0,.43737495,.94237697,.29431719,0,0,0,0,0,.93842888,.88064873,0,1,1,0,0,0,0,0,.94237697,0,0,3
34,Atlanta,1907,895,801025,895,1,M,B,Kareem,Washington,67.400002,9291,1,0,0,1,0,0,.49135563,.16884796,.29431719,1,1,1,1,1,1,1,1,0,0,1,.16884796,1,0,.16884796,0,.16884796,0,2
35,Atlanta,1815,695,483025,695,1,M,B,Jamal,Washington,73.900002,21679,0,0,0,1,0,1,.46845689,.10662454,.29431719,0,0,0,0,0,1,1,1,0,0,1,.10662454,1,0,.10662454,0,.10662454,0,2
36,Atlanta,4910,550,302500,716.93396,1,F,W,Allison,Kramer,95.699997,142463,0,0,1,0,0,0,.49141899,.29431719,.29431719,0,0,0,0,0,.76715571,.58852786,0,1,1,0,0,0,0,0,0,0,0,1
37,Atlanta,4910,650,422500,716.93396,1,F,B,Ebony,Washington,65.599998,41810,0,0,0,1,0,1,.49141899,.29431719,.29431719,1,1,0,1,1,.90663862,.82199359,0,1,0,1,.29431719,1,0,.29431719,0,.29431719,0,2
38,Atlanta,1839,750,562500,775,1,F,W,Emily,Schmidt,96.599998,322090,0,0,0,1,0,0,.50392467,.47409734,.29431719,1,1,1,1,1,.96774191,.93652439,0,1,1,0,0,0,0,.47409734,0,0,0,2
39,Atlanta,4910,685,469225,716.93396,1,M,B,Hakim,Mosley,73.699997,1549,1,1,0,0,1,0,.49141899,.29431719,.29431719,1,0,0,0,1,.95545763,.91289926,1,0,0,1,.29431719,0,1,0,.29431719,0,.29431719,3
40,Atlanta,4910,700,490000,716.93396,1,F,W,Jill,Erickson,92.300003,219888,0,0,0,1,0,1,.49141899,.29431719,.29431719,0,0,0,0,0,.97638005,.953318,0,1,1,0,0,0,0,.29431719,0,0,0,2
41,Atlanta,1891,980,960400,788.79999,1,F,B,Tanisha,Mosley,64,18582,0,0,0,1,0,0,.48925737,.059551612,.29431719,1,1,1,1,1,1.2423935,1.5435416,0,1,0,1,.059551612,1,0,.059551612,0,.059551612,0,2
42,Atlanta,1872,900,810000,820.83331,1,M,B,Leroy,Banks,53.299999,193564,0,0,0,0,1,0,.68840969,.75444746,.29431719,1,0,1,1,1,1.0964468,1.2021955,1,0,0,1,.75444746,0,1,0,.75444746,0,.75444746,3
43,Atlanta,1876,1000,1000000,1000,1,M,W,Brad,Klein,90.5,113041,0,0,0,0,1,0,.53754514,.9404332,.29431719,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,.9404332,0,0,3
44,Atlanta,1845,895,801025,806.66669,1,F,B,Kenya,Washington,70.199997,17034,0,0,0,1,0,0,.49909818,.043803144,.29431719,0,0,0,0,0,1.1095041,1.2309994,0,1,0,1,.043803144,1,0,.043803144,0,.043803144,0,2
45,Atlanta,4910,800,640000,716.93396,1,M,B,Tremayne,Booker,,1549,0,1,0,0,1,0,.49141899,.29431719,.29431719,0,0,0,0,0,1.1158628,1.2451499,1,0,0,1,.29431719,0,1,0,.29431719,0,.29431719,3
46,Atlanta,1887,685,469225,685,1,M,W,Neil,Kramer,85.699997,102202,0,0,1,0,0,1,.56917387,.13958077,.29431719,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
47,Atlanta,1866,600,360000,600,1,M,W,Geoffrey,Erickson,96,49552,0,0,1,0,0,0,.51249409,.67939651,.29431719,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
48,Atlanta,1301,625,390625,585,1,M,W,Brad,Bauer,90.5,113041,0,0,0,1,0,1,.59099436,.11819887,.29431719,1,1,1,1,1,1.0683761,1.1414274,1,0,1,0,0,0,0,.11819887,0,0,0,2
49,Atlanta,4910,550,302500,716.93396,1,F,B,Latonya,Jefferson,31.299999,34067,0,0,1,0,0,0,.49141899,.29431719,.29431719,1,0,0,0,0,.76715571,.58852786,0,1,0,1,.29431719,0,0,0,0,0,0,1
50,Atlanta,1809,875,765625,875,1,F,B,Ebony,Washington,65.599998,41810,0,0,0,1,0,0,.48927185,.04781213,.29431719,0,0,0,0,0,1,1,0,1,0,1,.04781213,1,0,.04781213,0,.04781213,0,2
51,Atlanta,4910,599,358801,716.93396,1,F,B,Tanisha,Mosley,64,18582,0,0,0,0,1,0,.49141899,.29431719,.29431719,1,1,1,1,1,.83550233,.69806415,0,1,0,1,.29431719,0,1,0,.29431719,0,.29431719,3
52,Atlanta,1862,700,490000,752.14288,1,M,B,Rasheed,Banks,77.300003,1549,1,1,0,1,0,0,.52853066,.092011414,.29431719,0,0,0,0,0,.93067425,.86615455,1,0,0,1,.092011414,1,0,.092011414,0,.092011414,0,2
53,Atlanta,1890,699,488601,799.66669,1,M,W,Brad,Schmidt,90.5,113041,0,0,0,0,1,0,.45748773,.031569175,.29431719,0,0,0,0,0,.87411422,.76407564,1,0,1,0,0,0,0,0,.031569175,0,0,3
54,Atlanta,1835,585,342225,605,1,F,B,Latonya,Jefferson,31.299999,34067,0,0,0,0,1,0,.45663589,.08021003,.29431719,0,0,0,0,0,.96694213,.93497711,0,1,0,1,.08021003,0,1,0,.08021003,0,.08021003,3
55,Atlanta,1823,1000,1000000,869,1,M,B,Jamal,Booker,73.900002,21679,0,0,0,0,1,0,.5061205,.056497175,.29431719,0,0,0,0,0,1.150748,1.324221,1,0,0,1,.056497175,0,1,0,.056497175,0,.056497175,3
56,Atlanta,1858,800,640000,816.25,1,M,W,Matthew,Schwartz,93.099998,1020467,0,0,0,1,0,0,.62358892,.16426626,.29431719,1,1,1,1,1,.98009187,.96058005,1,0,1,0,0,0,0,.16426626,0,0,0,2
57,Atlanta,4910,550,302500,716.93396,1,F,B,Keisha,Jefferson,68.800003,29422,0,0,0,1,0,1,.49141899,.29431719,.29431719,0,0,0,0,0,.76715571,.58852786,0,1,0,1,.29431719,1,0,.29431719,0,.29431719,0,2
58,Atlanta,4910,700,490000,716.93396,1,F,W,Allison,Bauer,95.699997,142463,0,0,1,0,0,0,.49141899,.29431719,.29431719,1,0,0,0,0,.97638005,.953318,0,1,1,0,0,0,0,0,0,0,0,1
59,Atlanta,4910,800,640000,716.93396,1,F,B,Ebony,Jefferson,65.599998,41810,0,0,0,1,0,1,.49141899,.29431719,.29431719,1,1,1,1,1,1.1158628,1.2451499,0,1,0,1,.29431719,1,0,.29431719,0,.29431719,0,2
60,Atlanta,4910,695,483025,716.93396,1,F,B,Latonya,Jefferson,31.299999,34067,0,0,1,0,0,0,.49141899,.29431719,.29431719,1,1,1,1,1,.96940589,.93974775,0,1,0,1,.29431719,0,0,0,0,0,0,1
